temperature,humidity,heat_index,pressure,datetime
22.91,77.4,22.91,1005.52,2025-02-20 16:30:00.654994
22.88,77.97,22.88,1005.49,2025-02-20 16:31:00.106800
22.9,77.94,22.9,1005.5,2025-02-20 16:32:01.721656
22.93,77.38,22.93,1005.53,2025-02-20 16:33:01.212607
22.95,77.61,22.95,1005.5,2025-02-20 16:34:00.662549
22.84,77.42,22.84,1005.55,2025-02-20 16:35:00.181669
22.77,77.67,22.77,1005.55,2025-02-20 16:36:01.843518
23.01,77.64,23.01,1005.56,2025-02-20 16:37:01.337820
22.99,77.65,22.99,1005.48,2025-02-20 16:38:00.888529
23.06,77.74,23.06,1005.49,2025-02-20 16:39:00.488865
22.95,77.78,22.95,1005.57,2025-02-20 16:40:00.019252
22.97,77.73,22.97,1005.54,2025-02-20 16:41:01.646192
23.06,77.5,23.06,1005.53,2025-02-20 16:42:01.152533
22.9,77.87,22.9,1005.56,2025-02-20 16:43:00.615542
22.93,78.45,22.93,1005.59,2025-02-20 16:44:00.105471
22.88,78.01,22.88,1005.63,2025-02-20 16:45:01.694605
22.77,77.82,22.77,1005.65,2025-02-20 16:46:01.145044
23.01,78.15,23.01,1005.59,2025-02-20 16:47:00.588409
22.93,77.84,22.93,1005.57,2025-02-20 16:48:00.034813
22.84,77.74,22.84,1005.65,2025-02-20 16:49:01.599190
22.82,78.05,22.82,1005.67,2025-02-20 16:50:01.039523
22.77,78.11,22.77,1005.63,2025-02-20 16:51:00.502942
22.88,77.7,22.88,1005.62,2025-02-20 16:52:02.074316
22.82,78.13,22.82,1005.63,2025-02-20 16:53:01.515760
22.84,77.85,22.84,1005.65,2025-02-20 16:54:00.974456
22.88,77.92,22.88,1005.63,2025-02-20 16:55:00.419758
22.79,77.63,22.79,1005.64,2025-02-20 16:56:02.101833
22.86,77.66,22.86,1005.61,2025-02-20 16:57:01.557278
22.88,77.76,22.88,1005.67,2025-02-20 16:58:01.005282
22.95,77.61,22.95,1005.65,2025-02-20 16:59:00.448770
22.91,77.46,22.91,1005.67,2025-02-20 17:00:02.028262
