temperature,humidity,heat_index,pressure,datetime
23.04,68.73,23.04,1005.02,2025-02-18 16:04:37.654892
23.06,68.25,23.06,1004.93,2025-02-18 16:04:39.778468
22.97,68.51,22.97,1004.89,2025-02-18 16:04:41.902910
23.08,68.3,23.08,1004.88,2025-02-18 16:04:44.028052
23.08,67.43,23.08,1004.89,2025-02-18 16:04:46.154607
22.97,68.24,22.97,1004.83,2025-02-18 16:04:48.277401
22.9,68.2,22.9,1004.92,2025-02-18 16:04:50.399537
22.97,68.49,22.97,1004.92,2025-02-18 16:04:52.522300
23.08,68.24,23.08,1004.91,2025-02-18 16:04:54.645318
23.04,68.3,23.04,1004.94,2025-02-18 16:04:56.768313
22.88,67.36,22.88,1004.94,2025-02-18 16:04:58.892271
22.99,68.46,22.99,1004.89,2025-02-18 16:05:01.016619
23.03,67.98,23.03,1004.92,2025-02-18 16:05:03.138854
22.73,68.5,22.73,1004.92,2025-02-18 16:05:05.260952
23.06,68.4,23.06,1004.94,2025-02-18 16:05:07.383656
22.8,67.88,22.8,1004.92,2025-02-18 16:05:09.506698
23.03,67.14,23.03,1004.99,2025-02-18 16:05:11.631182
23.01,68.19,23.01,1004.98,2025-02-18 16:05:13.753639
23.06,67.42,23.06,1004.93,2025-02-18 16:05:15.879480
22.95,67.95,22.95,1004.94,2025-02-18 16:05:18.001583
22.99,68.06,22.99,1004.91,2025-02-18 16:05:20.124056
22.86,67.73,22.86,1004.9,2025-02-18 16:05:22.246873
23.08,68.67,23.08,1004.91,2025-02-18 16:05:24.369862
22.97,68.32,22.97,1004.93,2025-02-18 16:05:26.495739
23.03,68.19,23.03,1004.94,2025-02-18 16:05:28.618418
23.04,67.74,23.04,1004.9,2025-02-18 16:05:30.741695
22.86,67.36,22.86,1004.91,2025-02-18 16:05:32.867308
22.93,67.84,22.93,1004.93,2025-02-18 16:05:34.989800
23.01,68.01,23.01,1004.92,2025-02-18 16:05:37.112767
22.9,68.01,22.9,1004.94,2025-02-18 16:05:39.235069
22.93,67.92,22.93,1004.95,2025-02-18 16:05:41.357168
22.97,68.39,22.97,1004.92,2025-02-18 16:05:43.480550
22.91,67.92,22.91,1004.9,2025-02-18 16:05:45.602699
23.01,67.78,23.01,1004.93,2025-02-18 16:05:47.725888
23.01,67.86,23.01,1004.86,2025-02-18 16:05:49.849800
22.99,67.69,22.99,1004.93,2025-02-18 16:05:51.972079
23.06,68.02,23.06,1004.89,2025-02-18 16:05:54.095823
22.97,67.82,22.97,1004.89,2025-02-18 16:05:56.219103
23.01,67.96,23.01,1004.87,2025-02-18 16:05:58.341722
23.01,68.0,23.01,1004.85,2025-02-18 16:06:00.468280
22.99,66.76,22.99,1004.86,2025-02-18 16:06:02.591312
23.01,67.96,23.01,1004.87,2025-02-18 16:06:04.713951
22.99,68.21,22.99,1004.88,2025-02-18 16:06:06.839663
22.88,67.92,22.88,1004.92,2025-02-18 16:06:08.962452
23.14,68.33,23.14,1004.88,2025-02-18 16:06:11.084655
22.99,67.57,22.99,1004.91,2025-02-18 16:06:13.207274
23.06,68.49,23.06,1004.95,2025-02-18 16:06:15.332806
23.06,67.81,23.06,1004.9,2025-02-18 16:06:17.455035
23.06,68.23,23.06,1004.88,2025-02-18 16:06:19.579325
22.97,68.82,22.97,1004.88,2025-02-18 16:06:21.704288
23.06,67.51,23.06,1004.84,2025-02-18 16:06:23.826382
23.06,67.62,23.06,1004.9,2025-02-18 16:06:25.950255
23.04,67.66,23.04,1004.89,2025-02-18 16:06:28.072432
23.06,68.28,23.06,1004.89,2025-02-18 16:06:30.195042
23.1,67.77,23.1,1004.94,2025-02-18 16:06:32.317141
23.14,68.47,23.14,1004.91,2025-02-18 16:06:34.439226
22.95,67.68,22.95,1004.89,2025-02-18 16:06:36.561482
23.08,67.85,23.08,1004.87,2025-02-18 16:06:38.684266
23.1,68.34,23.1,1004.87,2025-02-18 16:06:40.807000
22.97,68.06,22.97,1004.85,2025-02-18 16:06:42.929052
23.1,67.52,23.1,1004.87,2025-02-18 16:06:45.051784
22.88,67.58,22.88,1004.87,2025-02-18 16:06:47.176252
23.04,68.2,23.04,1004.88,2025-02-18 16:06:49.300274
23.19,68.32,23.19,1004.83,2025-02-18 16:06:51.422445
23.03,67.64,23.03,1004.81,2025-02-18 16:06:53.545165
23.06,67.74,23.06,1004.85,2025-02-18 16:06:55.667990
23.01,67.85,23.01,1004.9,2025-02-18 16:06:57.790648
22.97,67.86,22.97,1004.93,2025-02-18 16:06:59.913804
23.01,67.6,23.01,1004.89,2025-02-18 16:07:02.035875
22.91,67.89,22.91,1004.94,2025-02-18 16:07:04.159307
22.95,67.69,22.95,1004.9,2025-02-18 16:07:06.281909
22.95,68.27,22.95,1004.96,2025-02-18 16:07:08.403942
23.03,67.87,23.03,1004.92,2025-02-18 16:07:10.526684
23.1,67.62,23.1,1004.87,2025-02-18 16:07:12.648824
23.06,67.76,23.06,1004.9,2025-02-18 16:07:14.770825
22.97,67.55,22.97,1004.84,2025-02-18 16:07:16.893607
22.9,68.0,22.9,1004.85,2025-02-18 16:07:19.016045
23.06,68.13,23.06,1004.82,2025-02-18 16:07:21.138024
23.01,67.77,23.01,1004.84,2025-02-18 16:07:23.260690
23.04,67.96,23.04,1004.87,2025-02-18 16:07:25.383468
22.86,67.81,22.86,1004.82,2025-02-18 16:07:27.505560
23.06,67.98,23.06,1004.89,2025-02-18 16:07:29.627512
22.97,67.85,22.97,1004.87,2025-02-18 16:07:31.750177
23.06,67.71,23.06,1004.88,2025-02-18 16:07:33.873510
22.99,67.74,22.99,1004.84,2025-02-18 16:07:35.995729
23.01,67.56,23.01,1004.83,2025-02-18 16:07:38.117874
22.99,67.84,22.99,1004.84,2025-02-18 16:07:40.240675
23.01,67.88,23.01,1004.85,2025-02-18 16:07:42.365127
23.01,68.13,23.01,1004.87,2025-02-18 16:07:44.506131
22.99,67.29,22.99,1004.83,2025-02-18 16:07:46.631458
23.03,67.5,23.03,1004.84,2025-02-18 16:07:48.754379
23.06,68.1,23.06,1004.86,2025-02-18 16:07:50.876509
23.12,67.65,23.12,1004.87,2025-02-18 16:07:52.999109
23.06,67.56,23.06,1004.86,2025-02-18 16:07:55.121250
22.99,67.76,22.99,1004.85,2025-02-18 16:07:57.243254
23.06,67.78,23.06,1004.85,2025-02-18 16:07:59.365635
23.08,68.36,23.08,1004.83,2025-02-18 16:08:01.487750
23.06,67.27,23.06,1004.82,2025-02-18 16:08:03.610536
22.93,68.15,22.93,1004.83,2025-02-18 16:08:05.733221
23.01,67.56,23.01,1004.84,2025-02-18 16:08:07.855989
22.97,67.25,22.97,1004.85,2025-02-18 16:08:09.979302
