temperature,humidity,heat_index,pressure,datetime
23.14,73.36,23.14,1006.87,2025-02-21 14:20:00.246360
22.77,72.92,22.77,1006.86,2025-02-21 14:21:01.846543
22.67,73.38,22.67,1006.85,2025-02-21 14:22:01.316859
22.69,73.42,22.69,1006.82,2025-02-21 14:23:00.753801
22.67,73.34,22.67,1006.82,2025-02-21 14:24:00.222432
22.73,73.58,22.73,1006.89,2025-02-21 14:25:01.815534
22.62,73.7,22.62,1006.85,2025-02-21 14:26:01.310551
22.73,73.7,22.73,1006.89,2025-02-21 14:27:00.794018
22.6,73.44,22.6,1006.87,2025-02-21 14:28:00.327724
22.6,73.49,22.6,1006.92,2025-02-21 14:29:01.894394
22.54,73.31,22.54,1006.85,2025-02-21 14:30:01.380734
22.47,73.69,22.47,1006.88,2025-02-21 14:31:00.861082
22.67,73.7,22.67,1006.83,2025-02-21 14:32:00.315853
22.66,73.59,22.66,1006.97,2025-02-21 14:33:01.887954
22.51,73.29,22.51,1006.88,2025-02-21 14:34:01.381280
22.62,73.7,22.62,1006.9,2025-02-21 14:35:00.881074
22.64,73.72,22.64,1006.85,2025-02-21 14:36:00.365159
22.54,73.18,22.54,1006.83,2025-02-21 14:37:01.927777
22.73,73.49,22.73,1006.81,2025-02-21 14:38:01.418373
22.6,73.18,22.6,1006.97,2025-02-21 14:39:00.868941
22.43,73.26,22.43,1006.76,2025-02-21 14:40:00.363927
22.64,73.59,22.64,1006.77,2025-02-21 14:41:02.053353
22.51,73.19,22.51,1006.81,2025-02-21 14:42:01.500829
22.54,72.99,22.54,1006.94,2025-02-21 14:43:00.994397
22.53,73.17,22.53,1006.89,2025-02-21 14:44:00.456556
22.58,73.21,22.58,1006.97,2025-02-21 14:45:02.104626
22.56,73.25,22.56,1006.95,2025-02-21 14:46:01.562065
22.54,73.3,22.54,1006.89,2025-02-21 14:47:01.002023
22.54,73.04,22.54,1006.82,2025-02-21 14:48:00.538521
22.58,73.65,22.58,1006.82,2025-02-21 14:49:00.012275
22.58,73.04,22.58,1006.94,2025-02-21 14:50:01.584566
22.53,73.94,22.53,1006.97,2025-02-21 14:51:01.029049
22.67,73.41,22.67,1006.89,2025-02-21 14:52:00.460053
22.58,73.32,22.58,1006.79,2025-02-21 14:53:02.101347
22.49,73.15,22.49,1007.02,2025-02-21 14:54:01.567268
22.64,73.59,22.64,1006.91,2025-02-21 14:55:01.033337
22.64,73.49,22.64,1006.9,2025-02-21 14:56:00.472768
22.54,73.43,22.54,1006.89,2025-02-21 14:57:02.039123
22.62,73.28,22.62,1006.93,2025-02-21 14:58:01.478602
22.43,73.27,22.43,1006.98,2025-02-21 14:59:00.956959
22.64,73.06,22.64,1006.99,2025-02-21 15:00:00.554928
22.54,73.02,22.54,1006.96,2025-02-21 15:01:00.091198
22.58,73.18,22.58,1006.93,2025-02-21 15:02:01.651353
22.64,72.4,22.64,1006.95,2025-02-21 15:03:01.089957
