temperature,humidity,heat_index,pressure,datetime
22.42,72.58,22.42,1006.89,2025-02-21 15:04:00.522705
22.77,72.42,22.77,1006.9,2025-02-21 15:05:02.080900
22.77,72.27,22.77,1006.97,2025-02-21 15:06:01.517217
22.73,72.44,22.73,1006.87,2025-02-21 15:07:00.950534
22.62,72.37,22.62,1006.97,2025-02-21 15:08:00.387251
22.71,72.32,22.71,1006.88,2025-02-21 15:09:01.946360
22.8,72.19,22.8,1006.9,2025-02-21 15:10:01.382729
22.69,72.22,22.69,1006.85,2025-02-21 15:11:00.817608
22.75,72.07,22.75,1006.87,2025-02-21 15:12:00.250982
22.69,72.25,22.69,1006.95,2025-02-21 15:13:01.806336
22.75,71.71,22.75,1006.91,2025-02-21 15:14:01.240209
22.77,71.64,22.77,1006.89,2025-02-21 15:15:00.676898
22.82,71.95,22.82,1006.84,2025-02-21 15:16:00.114308
22.66,71.89,22.66,1006.89,2025-02-21 15:17:01.673205
22.69,71.96,22.69,1006.88,2025-02-21 15:18:01.127386
22.71,71.66,22.71,1006.86,2025-02-21 15:19:00.617102
22.88,71.76,22.88,1006.9,2025-02-21 15:20:00.057126
22.8,71.85,22.8,1006.88,2025-02-21 15:21:01.621916
22.75,71.83,22.75,1006.83,2025-02-21 15:22:01.059473
22.71,72.04,22.71,1006.85,2025-02-21 15:23:00.494570
22.75,71.75,22.75,1006.88,2025-02-21 15:24:02.052788
22.79,71.28,22.79,1006.77,2025-02-21 15:25:01.492693
22.77,72.04,22.77,1006.81,2025-02-21 15:26:00.929740
22.69,71.79,22.69,1006.81,2025-02-21 15:27:00.367763
22.66,72.12,22.66,1006.87,2025-02-21 15:28:01.929954
22.8,72.08,22.8,1006.89,2025-02-21 15:29:01.363123
22.82,71.96,22.82,1006.84,2025-02-21 15:30:00.797104
22.77,72.05,22.77,1006.84,2025-02-21 15:31:00.233312
22.73,72.39,22.73,1006.85,2025-02-21 15:32:01.797658
22.86,72.01,22.86,1006.91,2025-02-21 15:33:01.238837
22.69,70.31,22.69,1006.82,2025-02-21 15:34:00.677281
22.6,71.95,22.6,1006.85,2025-02-21 15:35:00.113336
22.79,71.66,22.79,1006.87,2025-02-21 15:36:01.671790
22.69,72.13,22.69,1006.93,2025-02-21 15:37:01.106859
22.49,72.35,22.49,1006.83,2025-02-21 15:38:00.629152
22.64,72.05,22.64,1006.77,2025-02-21 15:39:00.148595
22.6,72.59,22.6,1006.83,2025-02-21 15:40:01.721267
22.67,72.21,22.67,1006.83,2025-02-21 15:41:01.185773
22.45,72.51,22.45,1006.85,2025-02-21 15:42:00.687297
22.69,72.51,22.69,1006.88,2025-02-21 15:43:00.264633
22.45,72.82,22.45,1006.87,2025-02-21 15:44:01.945681
22.54,72.83,22.54,1006.73,2025-02-21 15:45:01.482837
22.53,72.61,22.53,1006.69,2025-02-21 15:46:01.048670
22.62,72.8,22.62,1006.79,2025-02-21 15:47:00.614018
22.45,72.95,22.45,1006.68,2025-02-21 15:48:00.043731
22.51,72.91,22.51,1006.8,2025-02-21 15:49:01.625938
22.58,72.79,22.58,1006.66,2025-02-21 15:50:01.066299
22.56,72.56,22.56,1006.75,2025-02-21 15:51:00.612562
22.69,72.63,22.69,1006.69,2025-02-21 15:52:00.089501
22.58,72.94,22.58,1006.73,2025-02-21 15:53:01.741174
22.56,73.28,22.56,1006.72,2025-02-21 15:54:01.206953
22.47,73.6,22.47,1006.74,2025-02-21 15:55:00.798393
22.6,73.0,22.6,1006.76,2025-02-21 15:56:00.336249
22.51,73.09,22.51,1006.7,2025-02-21 15:57:01.905804
22.56,73.72,22.56,1006.65,2025-02-21 15:58:01.357298
22.62,72.37,22.62,1006.64,2025-02-21 15:59:00.851694
22.64,73.03,22.64,1006.7,2025-02-21 16:00:00.321945
22.64,72.61,22.64,1006.7,2025-02-21 16:01:01.897177
22.62,72.39,22.62,1006.66,2025-02-21 16:02:01.405146
22.54,72.55,22.54,1006.66,2025-02-21 16:03:00.924273
22.56,72.87,22.56,1006.58,2025-02-21 16:04:00.385793
22.64,72.77,22.64,1006.69,2025-02-21 16:05:01.976191
22.54,72.43,22.54,1006.6,2025-02-21 16:06:01.417372
22.62,72.53,22.62,1006.61,2025-02-21 16:07:00.948749
22.53,72.42,22.53,1006.64,2025-02-21 16:08:00.405785
22.53,72.53,22.53,1006.68,2025-02-21 16:09:01.992502
22.53,72.67,22.53,1006.77,2025-02-21 16:10:01.480047
22.53,72.79,22.53,1006.73,2025-02-21 16:11:00.955729
22.62,72.66,22.62,1006.69,2025-02-21 16:12:00.487369
22.53,72.71,22.53,1006.83,2025-02-21 16:13:02.109154
22.53,73.07,22.53,1006.65,2025-02-21 16:14:01.548737
22.54,73.18,22.54,1006.72,2025-02-21 16:15:00.992653
22.58,72.74,22.58,1006.63,2025-02-21 16:16:00.428741
22.67,73.48,22.67,1006.72,2025-02-21 16:17:01.990681
22.64,72.63,22.64,1006.74,2025-02-21 16:18:01.432737
22.64,72.75,22.64,1006.79,2025-02-21 16:19:00.873066
22.62,72.74,22.62,1006.79,2025-02-21 16:20:00.301792
22.56,72.88,22.56,1006.81,2025-02-21 16:21:01.919663
22.58,72.69,22.58,1006.72,2025-02-21 16:22:01.379801
22.51,72.29,22.51,1006.72,2025-02-21 16:23:00.956935
22.64,72.5,22.64,1006.84,2025-02-21 16:24:00.416010
22.58,72.55,22.58,1006.81,2025-02-21 16:25:01.970993
22.56,72.39,22.56,1006.82,2025-02-21 16:26:01.431354
22.53,72.54,22.53,1006.9,2025-02-21 16:27:00.887933
22.53,72.35,22.53,1006.79,2025-02-21 16:28:00.353068
22.49,72.51,22.49,1006.83,2025-02-21 16:29:01.948660
22.49,72.47,22.49,1006.84,2025-02-21 16:30:01.413180
22.56,71.94,22.56,1006.89,2025-02-21 16:31:00.852573
22.6,72.34,22.6,1006.91,2025-02-21 16:32:00.288334
22.56,72.42,22.56,1006.9,2025-02-21 16:33:01.848019
22.53,72.04,22.53,1006.78,2025-02-21 16:34:01.288052
22.54,72.16,22.54,1006.94,2025-02-21 16:35:00.747668
22.58,72.1,22.58,1006.9,2025-02-21 16:36:00.189419
22.56,72.1,22.56,1006.85,2025-02-21 16:37:01.752532
22.54,71.95,22.54,1006.95,2025-02-21 16:38:01.189006
22.51,73.24,22.51,1006.97,2025-02-21 16:39:00.628385
22.6,72.15,22.6,1007.01,2025-02-21 16:40:00.063066
22.62,71.88,22.62,1007.0,2025-02-21 16:41:01.621713
22.69,71.78,22.69,1007.03,2025-02-21 16:42:01.056537
22.56,71.92,22.56,1007.07,2025-02-21 16:43:00.494006
22.69,71.52,22.69,1007.06,2025-02-21 16:44:02.052272
22.64,71.63,22.64,1007.07,2025-02-21 16:45:01.489774
22.6,71.65,22.6,1006.96,2025-02-21 16:46:00.933289
22.69,71.39,22.69,1007.01,2025-02-21 16:47:00.369741
22.64,71.32,22.64,1007.12,2025-02-21 16:48:01.929685
22.69,71.21,22.69,1007.09,2025-02-21 16:49:01.366686
22.77,71.11,22.77,1007.06,2025-02-21 16:50:00.871513
22.75,71.19,22.75,1007.1,2025-02-21 16:51:00.309298
22.67,71.23,22.67,1007.02,2025-02-21 16:52:01.875870
22.79,71.22,22.79,1007.04,2025-02-21 16:53:01.314915
22.51,70.85,22.51,1007.13,2025-02-21 16:54:00.815914
22.71,71.34,22.71,1007.07,2025-02-21 16:55:00.257955
22.69,70.2,22.69,1007.04,2025-02-21 16:56:01.816417
22.56,71.0,22.56,1007.11,2025-02-21 16:57:01.254843
22.67,71.13,22.67,1007.19,2025-02-21 16:58:00.687107
22.58,71.03,22.58,1007.19,2025-02-21 16:59:00.127448
22.53,71.12,22.53,1007.28,2025-02-21 17:00:01.688442
22.62,71.11,22.62,1007.23,2025-02-21 17:01:01.124690
22.66,71.46,22.66,1007.32,2025-02-21 17:02:00.562566
22.6,71.53,22.6,1007.22,2025-02-21 17:03:02.120214
22.64,71.01,22.64,1007.28,2025-02-21 17:04:01.559386
22.64,71.03,22.64,1007.33,2025-02-21 17:05:00.992406
22.53,71.01,22.53,1007.19,2025-02-21 17:06:00.427258
22.84,70.96,22.84,1007.27,2025-02-21 17:07:01.992779
22.71,70.76,22.71,1007.35,2025-02-21 17:08:01.431095
22.67,71.09,22.67,1007.36,2025-02-21 17:09:00.867591
22.67,70.69,22.67,1007.37,2025-02-21 17:10:00.323465
22.64,71.02,22.64,1007.38,2025-02-21 17:11:01.880247
22.73,70.83,22.73,1007.32,2025-02-21 17:12:01.313884
22.66,71.48,22.66,1007.36,2025-02-21 17:13:00.750950
22.71,71.07,22.71,1007.46,2025-02-21 17:14:00.192527
22.53,70.84,22.53,1007.4,2025-02-21 17:15:01.752935
22.34,71.23,22.34,1007.33,2025-02-21 17:16:01.188546
22.34,70.88,22.34,1007.41,2025-02-21 17:17:00.620136
22.45,72.2,22.45,1007.35,2025-02-21 17:18:00.062951
22.38,72.08,22.38,1007.3,2025-02-21 17:19:01.626962
22.42,72.4,22.42,1007.33,2025-02-21 17:20:01.059315
22.54,72.53,22.54,1007.42,2025-02-21 17:21:00.498380
22.6,72.55,22.6,1007.42,2025-02-21 17:22:02.055764
22.71,72.36,22.71,1007.36,2025-02-21 17:23:01.489337
22.69,72.38,22.69,1007.37,2025-02-21 17:24:00.932250
22.6,72.79,22.6,1007.42,2025-02-21 17:25:00.388942
22.58,72.72,22.58,1007.51,2025-02-21 17:26:01.951038
22.66,72.54,22.66,1007.43,2025-02-21 17:27:01.386274
22.66,72.37,22.66,1007.56,2025-02-21 17:28:00.818666
22.73,72.85,22.73,1007.37,2025-02-21 17:29:00.256715
22.58,72.87,22.58,1007.58,2025-02-21 17:30:01.904687
22.64,72.97,22.64,1007.6,2025-02-21 17:31:01.340160
22.67,73.37,22.67,1007.48,2025-02-21 17:32:00.776565
22.67,72.79,22.67,1007.55,2025-02-21 17:33:00.215037
22.67,72.78,22.67,1007.57,2025-02-21 17:34:01.772834
22.77,72.83,22.77,1007.51,2025-02-21 17:35:01.208398
22.62,72.99,22.62,1007.47,2025-02-21 17:36:00.650220
22.71,73.11,22.71,1007.5,2025-02-21 17:37:00.083756
22.8,72.74,22.8,1007.48,2025-02-21 17:38:01.642384
22.82,73.0,22.82,1007.53,2025-02-21 17:39:01.081698
22.86,72.9,22.86,1007.44,2025-02-21 17:40:00.523686
22.91,72.92,22.91,1007.47,2025-02-21 17:41:02.109908
22.9,72.81,22.9,1007.48,2025-02-21 17:42:01.547322
22.99,72.67,22.99,1007.54,2025-02-21 17:43:00.983856
22.88,72.29,22.88,1007.43,2025-02-21 17:44:00.422954
22.73,71.71,22.73,1007.5,2025-02-21 17:45:01.983655
22.67,71.88,22.67,1007.48,2025-02-21 17:46:01.420738
22.64,71.23,22.64,1007.51,2025-02-21 17:47:00.853949
22.79,71.28,22.79,1007.5,2025-02-21 17:48:00.294091
22.6,71.22,22.6,1007.55,2025-02-21 17:49:01.856178
22.73,71.2,22.73,1007.53,2025-02-21 17:50:01.323295
22.53,71.13,22.53,1007.59,2025-02-21 17:51:00.843347
22.53,71.2,22.53,1007.54,2025-02-21 17:52:00.311609
22.53,71.61,22.53,1007.56,2025-02-21 17:53:01.937252
22.53,71.2,22.53,1007.58,2025-02-21 17:54:01.434597
22.53,71.35,22.53,1007.57,2025-02-21 17:55:00.908984
22.6,71.18,22.6,1007.68,2025-02-21 17:56:00.416187
22.36,71.19,22.36,1007.62,2025-02-21 17:57:02.020403
22.51,70.69,22.51,1007.58,2025-02-21 17:58:01.615651
22.45,71.12,22.45,1007.65,2025-02-21 17:59:01.115955
22.49,71.34,22.49,1007.64,2025-02-21 18:00:00.559582
22.51,71.18,22.51,1007.69,2025-02-21 18:01:00.034826
22.49,71.03,22.49,1007.61,2025-02-21 18:02:01.710703
22.38,71.35,22.38,1007.61,2025-02-21 18:03:01.271664
22.49,71.05,22.49,1007.62,2025-02-21 18:04:00.753741
22.34,71.32,22.34,1007.69,2025-02-21 18:05:00.189312
22.49,71.23,22.49,1007.7,2025-02-21 18:06:01.787029
22.53,71.34,22.53,1007.7,2025-02-21 18:07:01.272396
22.43,71.2,22.43,1007.72,2025-02-21 18:08:00.807845
22.54,71.31,22.54,1007.77,2025-02-21 18:09:00.247757
22.45,70.84,22.45,1007.81,2025-02-21 18:10:01.816131
22.49,71.28,22.49,1007.78,2025-02-21 18:11:01.298199
22.43,70.75,22.43,1007.85,2025-02-21 18:12:00.791797
22.45,71.24,22.45,1007.93,2025-02-21 18:13:00.238977
22.38,71.25,22.38,1007.93,2025-02-21 18:14:01.816875
22.42,70.43,22.42,1007.91,2025-02-21 18:15:01.264468
22.56,71.37,22.56,1007.98,2025-02-21 18:16:00.713997
22.42,70.95,22.42,1007.9,2025-02-21 18:17:00.152522
22.32,70.95,22.32,1007.91,2025-02-21 18:18:01.751085
22.19,71.06,22.19,1007.88,2025-02-21 18:19:01.194094
22.16,71.05,22.16,1007.89,2025-02-21 18:20:00.716959
21.92,71.05,21.92,1007.92,2025-02-21 18:21:00.149882
21.93,71.16,21.93,1007.94,2025-02-21 18:22:01.728745
21.82,71.22,21.82,1007.88,2025-02-21 18:23:01.165237
21.95,71.2,21.95,1007.89,2025-02-21 18:24:00.600021
22.03,71.04,22.03,1007.93,2025-02-21 18:25:00.083601
21.79,71.3,21.79,1007.93,2025-02-21 18:26:01.658750
21.86,71.27,21.86,1007.97,2025-02-21 18:27:01.090394
21.86,71.48,21.86,1008.0,2025-02-21 18:28:00.533437
21.79,71.16,21.79,1007.92,2025-02-21 18:29:00.040030
21.86,70.14,21.86,1008.02,2025-02-21 18:30:01.592197
21.95,71.16,21.95,1008.01,2025-02-21 18:31:01.028165
21.99,71.51,21.99,1007.97,2025-02-21 18:32:00.515296
22.03,71.12,22.03,1007.94,2025-02-21 18:33:02.075220
21.97,70.7,21.97,1007.97,2025-02-21 18:34:01.536880
21.66,71.19,21.66,1007.97,2025-02-21 18:35:00.969327
21.68,71.25,21.68,1008.0,2025-02-21 18:36:00.409369
21.62,71.47,21.62,1008.02,2025-02-21 18:37:01.969874
21.71,71.35,21.71,1008.11,2025-02-21 18:38:01.407374
21.82,71.47,21.82,1008.02,2025-02-21 18:39:00.841562
21.77,71.07,21.77,1007.98,2025-02-21 18:40:00.271946
21.84,71.05,21.84,1008.0,2025-02-21 18:41:01.831025
21.68,70.99,21.68,1008.08,2025-02-21 18:42:01.268338
21.68,70.94,21.68,1008.08,2025-02-21 18:43:00.706508
21.68,71.14,21.68,1007.92,2025-02-21 18:44:00.143740
21.64,70.92,21.64,1008.08,2025-02-21 18:45:01.699498
21.79,71.07,21.79,1008.02,2025-02-21 18:46:01.137939
22.01,70.86,22.01,1007.98,2025-02-21 18:47:00.571838
21.77,70.07,21.77,1007.97,2025-02-21 18:48:00.006310
21.69,70.73,21.69,1007.96,2025-02-21 18:49:01.568226
21.66,70.87,21.66,1008.08,2025-02-21 18:50:01.003415
21.53,70.5,21.53,1007.98,2025-02-21 18:51:00.440583
21.6,70.97,21.6,1007.94,2025-02-21 18:52:01.998260
21.69,71.06,21.69,1008.02,2025-02-21 18:53:01.431052
21.6,70.84,21.6,1007.96,2025-02-21 18:54:00.862642
21.51,70.74,21.51,1007.94,2025-02-21 18:55:00.315259
21.51,70.92,21.51,1008.01,2025-02-21 18:56:01.875257
21.23,70.99,21.23,1007.97,2025-02-21 18:57:01.314227
21.36,71.51,21.36,1008.03,2025-02-21 18:58:00.752058
21.51,71.27,21.51,1008.08,2025-02-21 18:59:00.198322
21.42,71.43,21.42,1008.06,2025-02-21 19:00:01.755150
21.34,71.08,21.34,1008.1,2025-02-21 19:01:01.190454
21.45,71.23,21.45,1008.09,2025-02-21 19:02:00.623509
21.55,70.86,21.55,1008.16,2025-02-21 19:03:00.062840
21.82,70.8,21.82,1008.2,2025-02-21 19:04:01.619342
21.73,71.1,21.73,1008.13,2025-02-21 19:05:01.051886
21.93,71.02,21.93,1008.22,2025-02-21 19:06:00.485701
21.99,71.15,21.99,1008.17,2025-02-21 19:07:02.049985
21.93,70.9,21.93,1008.16,2025-02-21 19:08:01.485341
22.16,70.93,22.16,1008.18,2025-02-21 19:09:00.924472
22.16,70.98,22.16,1008.2,2025-02-21 19:10:00.361008
22.19,70.73,22.19,1008.17,2025-02-21 19:11:01.917363
22.23,70.29,22.23,1008.23,2025-02-21 19:12:01.349700
22.27,70.75,22.27,1008.15,2025-02-21 19:13:00.791363
22.32,70.53,22.32,1008.21,2025-02-21 19:14:00.234852
22.34,70.74,22.34,1008.21,2025-02-21 19:15:01.797925
22.36,70.74,22.36,1008.22,2025-02-21 19:16:01.235129
22.47,71.3,22.47,1008.21,2025-02-21 19:17:00.675508
22.38,70.61,22.38,1008.29,2025-02-21 19:18:00.109674
22.4,71.28,22.4,1008.26,2025-02-21 19:19:01.671165
22.3,70.8,22.3,1008.3,2025-02-21 19:20:01.105231
22.43,70.95,22.43,1008.33,2025-02-21 19:21:00.549218
22.49,71.15,22.49,1008.32,2025-02-21 19:22:02.108049
22.47,71.01,22.47,1008.36,2025-02-21 19:23:01.540046
22.6,70.59,22.6,1008.45,2025-02-21 19:24:00.977419
22.62,70.71,22.62,1008.5,2025-02-21 19:25:00.417394
22.62,71.04,22.62,1008.48,2025-02-21 19:26:01.974599
22.58,71.04,22.58,1008.51,2025-02-21 19:27:01.414006
22.45,71.25,22.45,1008.45,2025-02-21 19:28:00.854619
22.6,71.34,22.6,1008.43,2025-02-21 19:29:00.300812
22.58,70.74,22.58,1008.46,2025-02-21 19:30:01.864880
22.62,71.02,22.62,1008.44,2025-02-21 19:31:01.301939
22.62,71.15,22.62,1008.49,2025-02-21 19:32:00.734759
22.69,71.27,22.69,1008.47,2025-02-21 19:33:00.174117
22.58,71.16,22.58,1008.49,2025-02-21 19:34:01.737920
22.58,71.34,22.58,1008.5,2025-02-21 19:35:01.178235
22.69,70.26,22.69,1008.48,2025-02-21 19:36:00.617953
22.73,71.0,22.73,1008.55,2025-02-21 19:37:00.062989
22.58,70.96,22.58,1008.55,2025-02-21 19:38:01.625613
22.6,71.32,22.6,1008.54,2025-02-21 19:39:01.062777
22.69,71.39,22.69,1008.64,2025-02-21 19:40:00.546828
22.6,71.35,22.6,1008.55,2025-02-21 19:41:02.099274
22.71,71.03,22.71,1008.64,2025-02-21 19:42:01.542894
22.71,71.06,22.71,1008.58,2025-02-21 19:43:00.976878
22.62,71.28,22.62,1008.61,2025-02-21 19:44:00.424695
22.69,71.22,22.69,1008.6,2025-02-21 19:45:02.027897
22.75,71.48,22.75,1008.65,2025-02-21 19:46:01.524414
22.77,71.45,22.77,1008.66,2025-02-21 19:47:00.963644
22.8,71.14,22.8,1008.62,2025-02-21 19:48:00.404184
22.73,71.28,22.73,1008.62,2025-02-21 19:49:01.961366
22.58,71.55,22.58,1008.61,2025-02-21 19:50:01.395884
22.64,71.36,22.64,1008.62,2025-02-21 19:51:00.833852
22.71,71.49,22.71,1008.67,2025-02-21 19:52:00.275851
22.66,71.31,22.66,1008.64,2025-02-21 19:53:01.832539
22.73,71.29,22.73,1008.67,2025-02-21 19:54:01.270249
22.71,71.46,22.71,1008.64,2025-02-21 19:55:00.710110
22.75,71.4,22.75,1008.73,2025-02-21 19:56:00.154683
22.77,71.46,22.77,1008.65,2025-02-21 19:57:01.717259
22.84,71.55,22.84,1008.68,2025-02-21 19:58:01.152191
22.93,71.71,22.93,1008.66,2025-02-21 19:59:00.588219
22.86,71.79,22.86,1008.67,2025-02-21 20:00:00.023946
22.8,71.22,22.8,1008.66,2025-02-21 20:01:01.586372
22.67,71.79,22.67,1008.65,2025-02-21 20:02:01.021801
22.86,71.3,22.86,1008.65,2025-02-21 20:03:00.462410
22.73,70.66,22.73,1008.6,2025-02-21 20:04:02.021300
22.73,70.13,22.73,1008.64,2025-02-21 20:05:01.455611
22.91,72.01,22.91,1008.64,2025-02-21 20:06:00.897616
22.84,71.12,22.84,1008.65,2025-02-21 20:07:00.336770
22.77,71.4,22.77,1008.64,2025-02-21 20:08:01.896700
22.99,71.49,22.99,1008.67,2025-02-21 20:09:01.328354
22.77,71.21,22.77,1008.71,2025-02-21 20:10:00.763576
22.71,71.31,22.71,1008.69,2025-02-21 20:11:00.199039
22.88,72.3,22.88,1008.75,2025-02-21 20:12:01.759842
22.91,71.62,22.91,1008.77,2025-02-21 20:13:01.189996
22.95,70.23,22.95,1008.75,2025-02-21 20:14:00.622817
22.95,71.2,22.95,1008.74,2025-02-21 20:15:00.057204
22.93,71.37,22.93,1008.81,2025-02-21 20:16:01.624017
22.9,71.4,22.9,1008.8,2025-02-21 20:17:01.062796
22.9,70.57,22.9,1008.86,2025-02-21 20:18:00.504973
22.82,69.99,22.82,1008.93,2025-02-21 20:19:02.056157
22.79,69.4,22.79,1008.93,2025-02-21 20:20:01.501992
22.79,69.79,22.79,1008.85,2025-02-21 20:21:00.941722
22.73,69.17,22.73,1008.9,2025-02-21 20:22:00.380333
22.77,69.2,22.77,1008.88,2025-02-21 20:23:01.940408
22.73,68.93,22.73,1009.0,2025-02-21 20:24:01.383352
22.71,68.03,22.71,1008.99,2025-02-21 20:25:00.820856
22.54,69.11,22.54,1008.96,2025-02-21 20:26:00.290612
22.64,69.22,22.64,1008.99,2025-02-21 20:27:01.859574
22.42,69.23,22.42,1009.1,2025-02-21 20:28:01.291374
22.56,69.44,22.56,1009.07,2025-02-21 20:29:00.730387
22.47,69.62,22.47,1009.05,2025-02-21 20:30:00.170322
22.49,69.48,22.49,1009.06,2025-02-21 20:31:01.729026
22.64,70.15,22.64,1009.09,2025-02-21 20:32:01.170664
22.67,69.79,22.67,1009.06,2025-02-21 20:33:00.630623
22.67,69.84,22.67,1009.06,2025-02-21 20:34:00.068026
22.6,69.71,22.6,1009.09,2025-02-21 20:35:01.628693
22.67,69.93,22.67,1009.13,2025-02-21 20:36:01.061849
22.54,69.48,22.54,1009.13,2025-02-21 20:37:00.503476
22.64,69.78,22.64,1009.08,2025-02-21 20:38:02.062838
22.71,69.3,22.71,1009.1,2025-02-21 20:39:01.503239
22.71,69.95,22.71,1009.1,2025-02-21 20:40:00.967241
22.62,69.12,22.62,1009.16,2025-02-21 20:41:00.403025
22.67,70.12,22.67,1009.15,2025-02-21 20:42:01.960197
22.67,69.65,22.67,1009.13,2025-02-21 20:43:01.395385
22.64,69.91,22.64,1009.14,2025-02-21 20:44:00.832602
22.64,70.02,22.64,1009.22,2025-02-21 20:45:00.267306
22.62,69.56,22.62,1009.19,2025-02-21 20:46:01.824623
22.58,69.39,22.58,1009.15,2025-02-21 20:47:01.262704
22.58,69.19,22.58,1009.2,2025-02-21 20:48:00.693115
22.54,68.8,22.54,1009.22,2025-02-21 20:49:00.123624
22.6,68.65,22.6,1009.25,2025-02-21 20:50:01.741846
22.6,69.15,22.6,1009.3,2025-02-21 20:51:01.169417
22.58,68.86,22.58,1009.3,2025-02-21 20:52:00.596964
22.56,68.67,22.56,1009.27,2025-02-21 20:53:00.035460
22.42,68.65,22.42,1009.31,2025-02-21 20:54:01.592957
22.4,68.99,22.4,1009.24,2025-02-21 20:55:01.031985
22.36,68.62,22.36,1009.25,2025-02-21 20:56:00.474349
22.29,68.97,22.29,1009.29,2025-02-21 20:57:02.038060
22.32,68.72,22.32,1009.29,2025-02-21 20:58:01.471241
22.27,69.15,22.27,1009.26,2025-02-21 20:59:00.913606
22.25,68.96,22.25,1009.34,2025-02-21 21:00:00.348943
22.16,69.07,22.16,1009.31,2025-02-21 21:01:01.911022
22.19,69.67,22.19,1009.29,2025-02-21 21:02:01.350805
22.05,69.55,22.05,1009.38,2025-02-21 21:03:00.785640
22.17,69.12,22.17,1009.32,2025-02-21 21:04:00.225348
22.17,69.07,22.17,1009.32,2025-02-21 21:05:01.785128
22.03,69.25,22.03,1009.23,2025-02-21 21:06:01.222164
22.17,69.04,22.17,1009.24,2025-02-21 21:07:00.659866
22.19,69.31,22.19,1009.3,2025-02-21 21:08:00.102219
22.12,69.42,22.12,1009.32,2025-02-21 21:09:01.670760
22.14,69.2,22.14,1009.35,2025-02-21 21:10:01.111310
22.06,69.22,22.06,1009.37,2025-02-21 21:11:00.549233
22.1,69.03,22.1,1009.39,2025-02-21 21:12:02.103613
22.01,69.38,22.01,1009.41,2025-02-21 21:13:01.539536
22.05,69.4,22.05,1009.45,2025-02-21 21:14:00.973678
22.05,69.69,22.05,1009.44,2025-02-21 21:15:00.481674
22.1,69.47,22.1,1009.39,2025-02-21 21:16:02.041406
22.08,69.4,22.08,1009.51,2025-02-21 21:17:01.469801
21.99,69.44,21.99,1009.45,2025-02-21 21:18:00.909636
22.05,69.05,22.05,1009.46,2025-02-21 21:19:00.349590
22.01,69.29,22.01,1009.51,2025-02-21 21:20:01.906950
22.08,69.22,22.08,1009.53,2025-02-21 21:21:01.349870
